Headline,Publication,Summary,Date
The Digest,"The New York Times, Section B; Column 0Business/Financial Desk; Pg. 2, 504 words",,5/8/2019
"The electric vehicle revolution will come from China, not the US","Phil's Stock World, 1407 words",,5/14/2019
"The electric vehicle revolution will come from China, not the US","The Conversation - United States, 839 words",,5/14/2019
"The electric vehicle revolution will come from China, not the US","Global English (Middle East and North Africa Financial Network), 842 words",,5/14/2019
"The Electric Vehicle Revolution Will Come From China, Not The US","International Business Times News, 1006 words",,5/15/2019
The Finance 202: Trump's trade war sends big business to K Street;Lobbyists see paydays as companies seek exceptions to China tariffs.,"Washington Post Blogs , 1849 words",,5/15/2019
The Problem With D.C.'s New Apple Store,"The Atlantic Cities, 1798 words",,5/10/2019
The Race to Full Self-Driving Is the Real Finish Line for Uber,"RealMoney, 800 words",,5/10/2019
"Thermionic Converter Market Upcoming Future Growth, Competitive Analysis and Forecast 2026: Curtiss-Wright Nuclear, GE, American Elements, II-VI Marlow, COMSOL","ReleaseWire, 1381 words",,5/13/2019
The student who lives in a van,"The Stanford Daily: Stanford University, NEWS; Pg. 1, 1179 words",,5/15/2019
"The Talks May Be Constructive, But The Tariffs Have Gone On And Stocks Are Fighting Back; Uber Premiered On The New York Stock Exchange This Morning; Elon Musk Pokes Fun at Jeff Bezos' New Space Plan; Former Russian Oligarch Mikhail Khodorkovsky Tells Richard Quest Russia May Never Be a Good Investment; Dow Pares Losses After U.S. Calls China Talks ""Constructive"". Aired 3-4p ET","CNN INTERNATIONAL, QUEST MEANS BUSINESS 3:00 PM EST, NEWS; International, 7469 words",,5/10/2019
"The US and North Korea fired off missile tests at almost the same time, but the US missile was a lot bigger","Business Insider US, 452 words",,5/9/2019
The US-China trade war is escalating. The coming days are crucial,"CNN Wire, 1068 words",,5/10/2019
They Got Rich Off Uber and Lyft. Then They Moved to Low-Tax States.,"The New York Times - International Edition, TECHNOLOGY, 1838 words",,5/11/2019
Tom Goodwin: A cynic's thoughts on why blockchain could change the world,"Marketing Week, OPINION, 973 words",,5/13/2019
Top 10 Most Admired Men And Women In The World,"ValueWalk, 607 words",,5/8/2019
Top market for Volvo's Polestar 2: China;Q&A: THOMAS INGENLATH,"Automotive News; Pg. 29; Vol. 93, 805 words",,5/13/2019
"Tortoise Investment Management, LLC Buys iShares 0-5 Year TIPS Bond, Vanguard Short-Term ...","GuruFocus.com, 5083 words",,5/8/2019
TransAlta Issues Financials for First Quarter of 2019,"Targeted News Service, 1964 words",,5/14/2019
TransAlta Reports First Quarter 2019 Results,"PR Newswire, 3304 words",,5/14/2019
TransAlta Reports First Quarter 2019 Results,"Plus Company Updates(PCU), 1885 words",,5/15/2019
-TransAlta Reports First Quarter 2019 Results,"ENP Newswire, 2652 words",,5/15/2019
"Transport Brief - Dodgy diesel, awful airports and surprising sheep"," EurActiv.com, 593 words",,5/14/2019
Trial date set for Musk's 'pedo guy' tweet,"Qatar Tribune, 80 words",,5/12/2019
Trump Predicts He'll Run Against Biden; Giuliani To Urge Ukraine Officials To Investigate Biden; Work Of Biden's Son Emerges As Potential 2020 Pitfall; Giuliani No Longer Going To Ukraine; McGahn Rebuffed White House Request; Trump Raises Tariffs On $200 Billion Of Chinese Goods; Trump Compares Mayor Pete Buttigieg To Mad Magazine Cartoon Alfred E. Neuman; USS Abraham Lincoln Transits Suez Canal; Russian President Takes A Fall After Eight-Goal Game; Lawsuit Filed Over Display At New Hamsphire V.A. Hospital; Texas Floods Are No Match For Pizza Delivery Man; Boy Dances With New Prosthetic Leg,"Fox News Network, FOX NEWS @ NIGHT 11:00 PM EST, NEWS; Domestic, 7402 words",,5/10/2019
Trump's China tariffs could slam American shoppers with an extra $800 in costs a year,"Business Insider US, 759 words",,5/9/2019
Trumps game about gang;Experts believe that the USA will ultimately not renounce punitive tariffs for EU cars. German manufacturers will react with relocations,"Die Welt (English), ECONOMY; ECONOMY; S. 9; Ausg. 111, 971 words",,5/14/2019
Trump's secretary of state warned Britain and savaged China in a stinging attack on Huawei,"Business Insider US, 611 words",,5/9/2019
Trump's tweet about Workhorse sent its stock soaring on news the electric-truck company is in talks to buy a GM assembly plant in Ohio (WKHS),"Business Insider US, 469 words",,5/8/2019
Trying out the new Nissan Leaf Plus,"Telegraph Herald (Dubuque, IA), C; Pg. 6, 574 words",,5/12/2019
"Tuttle Tactical Management LLC Buys iShares 20+ Year Treasury Bond ETF, ProShares Ultra ...","GuruFocus.com, 4184 words",,5/10/2019
Twenty Questions,"Lacombe Globe, NEWS; Pg. A5, 330 words",,5/9/2019
Uber IPO: the long ride to profitability," FT.com, 1733 words",,5/10/2019
"Uber, Lyft losses keep competitors at bay","Associated Press Financial Wire, DOMESTIC NEWS, 1101 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","The Wyoming Tribune-Eagle (Cheyenne), BUSINESS; national; Pg. 1, 1088 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","The Today File, 1136 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","Postmedia Breaking News, PMN NEWS, 1111 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","Associated Press International, BUSINESS NEWS, 1101 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","Associated Press State & Local, BUSINESS NEWS, 1101 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","The Associated Press, DOMESTIC NEWS, 1101 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay","Red Deer Advocate, BUSINESS, 1096 words",,5/11/2019
"Uber, Lyft losses keep competitors at bay;Uber, Lyft losses keep competitors at bay","Canadian Press, BUSINESS, 1101 words",,5/11/2019
"Uber, Lyft steer clear of rivalsFare war, billions in losses help to keep competitors at bay","Daily Press (Newport News, VA), BUSINESS; A; Pg. 10, 787 words",,5/15/2019
"Uber, Lyft steer clear of rivalsFare war, billions in losses help to keep competitors at bay","Daily Press (Newport News, VA), BUSINESS; A; Pg. 10, 787 words",,5/15/2019
"Uber Prices IPO at $45 USD a Share, Raises $8.1 Billion","iPhone in Canada, 378 words",,5/10/2019
Uber's boss battles to reassure his staff as China trade fears drive down shares for the second day running,"telegraph.co.uk, TECHNOLOGY INTELLIGENCE; Version:2, 535 words",,5/13/2019
"Understanding the ongoing U.S.-China trade war Clayton Dube, director of the USC U.S.-China Institute, explains this latest phase of the trade war and how it might impact American consumers.","US Official News, 642 words",,5/15/2019
U.S. Energy Storage Market to Be a Part of the Billion-Dollar Business Cosmos by 2024,"ReleaseWire, 1007 words",,5/10/2019
US explores new bailout for farmers as trade war rages,"The Mercury News (California), 1523 words",,5/14/2019
"US has 2 million PV systems today, to double that by 2023","SeeNews Renewables, 213 words",,5/9/2019
"US Patent Issued to Hyperfine Research on May 7 for ""Low-field magnetic resonance imaging methods and apparatus"" (Connecticut Inventor)","US Fed News, 376 words",,5/8/2019
US stocks suffer biggest sell-off since January as China trade war escalates,"standard.co.uk, WORLD; Version:2, 395 words",,5/13/2019
US STOCKS-Wall St dives as U.S.-China trade war escalates,"MailOnline, REUTERS; Version:1, 561 words",,5/13/2019
"Vident Investment Advisory, LLC Buys Nuveen Preferred Securities Income Fund, First Trust Inter ...","GuruFocus.com, 11105 words",,5/8/2019
-Volkswagen plans to produce battery cells in-house at German factory,"FinancialWire, 107 words",,5/15/2019
-Volkswagen plans to produce battery cells in-house at German factory,"Auto Business News, 99 words",,5/15/2019
Volvo's 'American car' gets a UK visa,"just-auto global news, 1691 words",,5/15/2019
VW calls its next EV the ID3,"Automotive News; Pg. 6; Vol. 93, 260 words",,5/13/2019
Wall Street,"Financial Times (London, England), COMPANIES AND MARKETS;FEATURES; Pg. 20, 191 words",,5/14/2019
Wall Street,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 20, 191 words",,5/14/2019
Wall Street,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 26, 191 words",,5/14/2019
Wall Street,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 20, 191 words",,5/14/2019
Wall Street shudders as US-China trade war intensifies,"Channel NewsAsia, BUSINESS, 567 words",,5/13/2019
Wall St shudders as trade war intensifies,"Plus Company Updates(PCU), 521 words",,5/15/2019
Wall St tumbles after China tariff threat,"Plus Company Updates(PCU), 536 words",,5/9/2019
Weekly Planner,"The Montana Standard (Butte), STATE AND REGIONAL NEWS, 2716 words",,5/13/2019
"Well Done, LLC Buys iShares Core SP 500, iShares Core MSCI Emerging Markets, iShares Edge ...","GuruFocus.com, 9564 words",,5/10/2019
Wells Fargo Company Buys iShares Core SP Total U.S. ...,"GuruFocus.com, 13080 words",,5/10/2019
We rode in a self-driving Uber — here's what it was like,"The Business Insider, 455 words",,5/10/2019
What design can do for the world,"CE Noticias Financieras English, 576 words",,5/9/2019
What lies ahead: experts warn of rocky road to autonomy and EVs;ELECTRONOMOUS CONFERENCE,"Irish Independent, MOTORS;NEWS; Pg. 3, 933 words",,5/8/2019
Why tech stocks are feeling the worst trade war pain,"Sky News, TOP STORIES, 906 words",,5/13/2019
"Willingdon Wealth Management Buys Apple Inc, Invesco SP 500 Low Volatility, Berkshire ...","GuruFocus.com, 4794 words",,5/9/2019
Will Technological Advancement Always Create More Jobs Than It Destroys?,"Daily Pundit, 1803 words",,5/12/2019
Winter still coming for real estate agents despite Purplebricks departure,"Property Observer, 840 words",,5/8/2019
"With a sizable backlog of new solar homes, SunPower expands battery business","SNL Generation Markets Week; Extra, 460 words",,5/14/2019
"With a sizable backlog of new solar homes, SunPower expands battery business","SNL Energy Finance Daily; Extra, 460 words",,5/13/2019
"With a sizable backlog of new solar homes, SunPower expands battery business","SNL Power Daily with Market Report; Extra, 460 words",,5/13/2019
World Business Report - 06:45 AM GMT,"TVeyes - BBC World, U.K. NATIONAL; News, 376 words",,5/10/2019
XTI TriFan 600 Air Taxi Completes First Successful Hover Tests,"CleanTechnica, 964 words",,5/13/2019
Zillow's Entry Into Directly Buying And Selling Homes: Time To Short?,"ValueWalk, 1946 words",,5/8/2019
Zips take on Silicon Valley to learn entrepreneurship best practices,"US Official News, 451 words",,5/15/2019
ZIPS TAKE ON SILICON VALLEY TO LEARN ENTREPRENEURSHIP BEST PRACTICES,"US Fed News, 468 words",,5/15/2019
Tesla Model 3 SR+ vs. German Competition In The US — How That Makes The Tesla Network 100% Possible,"CleanTechnica, 2367 words",,5/16/2019
NTSB: Autopilot was in use before Tesla hit semitrailer;NTSB: Autopilot was in use before Tesla hit semitrailer,"Canadian Press, BUSINESS, 935 words",,5/16/2019
Tesla car WAS in Autopilot when it crashed into truck and killed driver;A report by the National Transportation Safety Board has revealed that the Tesla had Autopilot mode activated seconds before the crash,"mirror.co.uk, TECHNOLOGY; Version:1, 433 words",,5/17/2019
Tesla reduces prices on Models S and X amid stock slump;Tesla reduces prices on Models S and X amid stock slump,"Canadian Press, BUSINESS, 560 words",,5/21/2019
Consumer Reports: Tesla automated lane changes are risky;Consumer Reports: Tesla automated lane changes are risky,"Canadian Press, BUSINESS, 493 words",,5/22/2019
Tesla stock falls as concerns about demand for Model 3 rise;Tesla stock falls as concerns about demand for Model 3 rise,"Canadian Press, BUSINESS, 246 words",,5/20/2019
"Regulatory update: Department of Public Utilities Massachusetts;Tesla , has submitted ( 18-150 ) Affidavit of Katherine Bell on behalf of Tesla.","US Official News, 479 words",,5/22/2019
Tesla Model 3 Charges Twice As Fast As Audi e-tron Air Pollution Is Killing Us 'Tesla Killer' MIA — #CleanTechnica Top 20,"CleanTechnica, 302 words",,5/19/2019
9 Ways Tesla Network Can Help You Make Money,"CleanTechnica, 1717 words",,5/18/2019
Will Tesla's 'Solar Roof' ever be produced? Or was it a lie to justify the bailout of SolarCity?,"ValueWalk, 3397 words",,5/16/2019
"A key feature of Tesla's Autopilot system is worse than a human driver and increases stress, according to Consumer Reports (TSLA)","The Business Insider, 1330 words",,5/22/2019
"Reasons To Buy A Tesla Model 3 By May 27, A Few Reasons To Not Buy","CleanTechnica, 1758 words",,5/19/2019
Tesla is losing another top executive amid a brutal week for the electric automaker (TSLA),"The Business Insider, 890 words",,5/16/2019
Tesla is updating its battery software after 2 seemingly spontaneous fires (TSLA),"The Business Insider, 1168 words",,5/16/2019
Tesla Slammed by NTSA in Investigation Into Death of Driver Using Autopilot,"TheStreet.com, 1001 words",,5/17/2019
Adam Jonas: Tesla 'From A Growth Story To A Distress Credit And Restructuring story',"ValueWalk, 1745 words",,5/22/2019
Correcting Audi: Tesla Model 3 Charges Over 2 Times Faster Than Audi e-tron,"CleanTechnica, 1882 words",,5/18/2019
NTSB: Tesla Autopilot was on at the time of two fatal crashes,"India Engineering news, 921 words",,5/20/2019
Preliminary NTSB Report Discusses Tesla Autopilot in Fatal Accident from March,"24/7 Wall St., 800 words",,5/16/2019
Questions About Tesla's 'Low-Cost Solar' Announcement,"Greentech Media, 1100 words",,5/20/2019
Tesla Buffalo Plant Exporting Most Solar Cells To A 'Large Asian Buyer' As Solar Roof Demand Plummets,"Phil's Stock World, 824 words",,5/21/2019
Tesla plunges to 2.5-year low after analyst who cut his price target for the 4th time this year warns it's facing a 'code red situation' (TSLA),"The Business Insider, 1349 words",,5/20/2019
Tesla's Stock Is Finally Pricing in a Lot of its Business Risks,"TheStreet.com, 724 words",,5/22/2019
Tesla (TSLA) Earns News Sentiment Score of -2.71,"American Banking and Market News, 776 words",,5/21/2019
More Evidence Tesla Is In A Death Spiral,"Investment Research Dynamics, 673 words",,5/21/2019
New York State Common Retirement Fund Raises Position in Tesla Inc (TSLA),"DailyPolitical, 949 words",,5/20/2019
NTSB: Autopilot was engaged in fatal Tesla crash in March,"The East Bay Times (California), 640 words",,5/16/2019
NTSB: Autopilot was engaged in fatal Tesla crash in March,"The Mercury News (California), 638 words",,5/16/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"Associated Press State & Local, BUSINESS NEWS, 936 words",,5/16/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"The Associated Press, DOMESTIC NEWS, 936 words",,5/16/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"Associated Press International, BUSINESS NEWS, 936 words",,5/16/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"Associated Press Financial Wire, DOMESTIC NEWS, 936 words",,5/16/2019
"Regulatory update: New York State Department of Public Service; Tesla, Inc. , has submitted (17-02273 ) Residential-Cash-Contract (NY Sample)","US Official News, 1461 words",,5/17/2019
"Regulatory update: New York State Department of Public Service; Tesla, Inc. , has submitted ( 17-02273 ) Residential-Cash-Contract-(Solar-Loan) (NY Sample)","US Official News, 1681 words",,5/17/2019
Short Sellers Making Bank Following Tesla's Technical Breakdown,"Benzinga.com, 402 words",,5/20/2019
Tesla battery fires: what happened and what cars are affected?,"The Week UK, 667 words",,5/16/2019
Tesla Cuts Costs To Curb Bankruptcy In 10 Years; Model Y Could Be Its Hope,"International Business Times News, 454 words",,5/19/2019
"Tesla is facing mounting pressure as Audi, Mercedes, and Volkswagen ramp up their push into electric cars (TSLA)","The Business Insider, 1369 words",,5/17/2019
Tesla is hurting but electric and self-driving cars are still a good investment,"CNN Wire, 661 words",,5/16/2019
Teslas New York Jobs Target On Track as Buffalo Factory Expands Beyond Solar,"Energy Monitor Worldwide, 433 words",,5/16/2019
Tesla's Solar Roof Solution Isn't For the United States,"Phil's Stock World, 477 words",,5/17/2019
Tesla's Troubles: 4 Things Elon Musk Needs to Do Now to Restore Confidence,"TheStreet.com, 759 words",,5/22/2019
Tesla trials Stock dives after dire prediction from Musk," The New York Post, All Editions; Pg. 25, 547 words",,5/18/2019
Tesla (TSLA) Earns Coverage Optimism Rating of -1.56,"Ticker Report, 993 words",,5/19/2019
4 Reasons Not to Buy Tesla Stock Here,"TheStreet.com, 565 words",,5/22/2019
Concern as Tesla shares sputter,"The Australian, WSJ; Pg. 22, 502 words",,5/22/2019
Dutch police stopped a Tesla driver after he fell asleep while driving on autopilot,"The Business Insider, 783 words",,5/21/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"Postmedia Breaking News, PMN NEWS, 796 words",,5/16/2019
NTSB: Autopilot was in Use Before Tesla Hit Semitrailer,"Indian Manufacturing News, 789 words",,5/17/2019
NTSB: Tesla's Autopilot was enabled during fatal Model 3 crash,"VentureBeat, 622 words",,5/16/2019
"Regulatory update: New York State Department of Public Service; Tesla, Inc. , has submitted ( 17-02273 ) Residential-PPA-Contract (NY Sample)","US Official News, 1460 words",,5/17/2019
Tesla adjusts Autopilot to comply with new EU regulations,"Engadget HD, 406 words",,5/17/2019
Tesla 'could crash to $10' if perfect storm hits,"The Times (London), BUSINESS; Pg. 25, 539 words",,5/22/2019
"Tesla could crash to $10 in 'worst-case scenario';Carmaker would lose 95% of its value, warns Morgan Stanley","The Times (London), NEWS; Pg. 41, 553 words",,5/22/2019
"Tesla could crash to $10 in 'worst-case scenario';Carmaker would lose 95% of its value, warns Morgan Stanley","The Times (London), NEWS; Pg. 39, 553 words",,5/22/2019
"Tesla could crash to $10 in 'worst-case scenario';Carmaker would lose 95% of its value, warns Morgan Stanley","thetimes.co.uk, BUSINESS; Version:1, 553 words",,5/21/2019
"Tesla Driver in Fatal March Crash Was Using Autopilot, NTSB Says","Consumer Reports, 874 words",,5/17/2019
Tesla Driver Was Using Autopilot in Fatal March Crash: NTSB,"Phil's Stock World, 684 words",,5/16/2019
"Tesla Model 3 Autopilot was active before deadly collision, federal investigators say","Washington Post Blogs , 543 words",,5/17/2019
"Tesla Model 3 that crashed in Florida had Autopilot active, NTSB finds","Stillman Advance: Stillman College, MARKETS; Pg. 1, 554 words",,5/20/2019
"Tesla's automatic lane-changing feature is 'far less competent' than a human driver, Consumer Reports says","The East Bay Times (California), 671 words",,5/22/2019
"Tesla's automatic lane-changing feature is 'far less competent' than a human driver, Consumer Reports says","The Mercury News (California), 671 words",,5/22/2019
Tesla's Autopilot system was engaged during fatal Florida crash in March - NTSB,"Channel NewsAsia, BUSINESS, 594 words",,5/16/2019
"Tesla shares could fall to just TEN DOLLARS from the current price of $200 if tensions with China escalate, Morgan Stanley analyst says","MailOnline, NEWS; Version:1, 704 words",,5/21/2019
Tesla Shares Slip after Analyst Downgrades on Musk's Distractions,"Financial Buzz, 452 words",,5/20/2019
Tesla's shifting capital raise narrative," FT.com, 960 words",,5/21/2019
Tesla stock and bonds tumble as investors fret about costs and safety,"Channel NewsAsia, BUSINESS, 579 words",,5/20/2019
Tesla Vancouver Store Is Reportedly Taking In ~800 Model 3 Orders Per Week,"CleanTechnica, 1120 words",,5/22/2019
Tesla WAS on autopilot when it slammed into a semitrailer on the highway in crash that killed the driver,"MailOnline, NEWS; Version:2, 592 words",,5/16/2019
Third fatal Tesla Autopilot crash renews questions about system,"Indian Technology news, 746 words",,5/20/2019
"[US-Tesla-Prices, 3rd Writethru code:6 Update:Changes approach, adds detail and background. With AP]","The Chronicle Journal, BUSINESS, 599 words",,5/22/2019
Apple Said to Have Made 'Serious Bid' of ~$240 Per Share to Acquire Tesla Around 2013,"MacRumors.com, 689 words",,5/21/2019
Former Tesla bull makes $10 worst case call on China worries,"Indian Technology news, 657 words",,5/22/2019
Former Tesla bull makes US$10 worst case call on China worries,"Channel NewsAsia, BUSINESS, 669 words",,5/21/2019
Investigators Say Tesla Model 3 Driver Killed In Florida Crash Was Using Autopilot,"Forbes.com, 615 words",,5/16/2019
NTSB: Autopilot in use before Tesla crash,"Daily Press (Newport News, VA), BUSINESS; A; Pg. 9, 674 words",,5/17/2019
NTSB: Autopilot in use when Tesla hit semi Regulators find car's driver in fatal crash never applied brakes,"Spokesman Review (Spokane, WA), A; Pg. 006, 619 words",,5/17/2019
"Shenma (iUNICORN) and Tesla, the story three billboards in New York's Times Square","M2 PressWIRE, 338 words",,5/17/2019
"Shenma (iUNICORN) and Tesla, the story three billboards in New York's Times Square","FinancialWire, 342 words",,5/17/2019
"Tesla Autopilot was active before deadly collision, federal investigators say","Washingtonpost.com, A section; Pg. A12, 488 words",,5/18/2019
"Tesla Autopilot was active before deadly collision, federal investigators say","The Washington Post, A-SECTION; Pg. A12, 488 words",,5/18/2019
Tesla battery fires: what happened and what cars are affected?,"The Week, 459 words",,5/16/2019
-Tesla Completes Acquisition of Maxwell Technologies,"ENP Newswire, 468 words",,5/17/2019
Tesla Completes Acquisition of Maxwell Technologies,"GlobeNewswire, MERGERS AND ACQUISITIONS, 483 words",,5/16/2019
Tesla Completes Acquisition of Maxwell Technologies,"Financial Buzz, 510 words",,5/16/2019
Tesla Completes Acquisition of Maxwell Technologies Nasdaq:TSLA,"Global English (Middle East and North Africa Financial Network), 471 words",,5/16/2019
"Tesla drops for sixth straight session, down 20per cent since share offer","Channel NewsAsia, BUSINESS, 411 words",,5/22/2019
Tesla falls as analyst says company in dire straits,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST INVESTING; Pg. FP6, 490 words",,5/21/2019
Tesla in the tank Hits 2-year nadir on analyst warning," The New York Post, All Editions; Pg. 28, 333 words",,5/21/2019
Tesla Model 3 Autopilot Feature To Blame For Death Of Driver In Crash,"International Business Times News, 618 words",,5/17/2019
Tesla Model 3 Back In U.S. Top 10 Best Selling Cars In April,"Indian Oil and gas news, 324 words",,5/16/2019
Tesla Model 3 Fatal Crash With Semi Truck Had Autopilot Engaged,"Hot Hardware, 554 words",,5/17/2019
Tesla reduces prices on Models S and X amid stock slump,"The Associated Press, BUSINESS NEWS, 561 words",,5/21/2019
Tesla reduces prices on Models S and X amid stock slump,"Associated Press International, BUSINESS NEWS, 561 words",,5/21/2019
Tesla reduces prices on Models S and X amid stock slump,"Energy Monitor Worldwide, 424 words",,5/22/2019
Tesla Reduces Prices on Models S and X Amid Stock Slump,"Indian Manufacturing News, 423 words",,5/22/2019
Tesla Roadster 2020 Appearance And Performance Shown In Concept Video,"International Business Times News, 410 words",,5/20/2019
Tesla Shares Extend Skid as Morgan Stanley Lays out $16.4 Billion 'Bear Case',"TheStreet.com, 561 words",,5/21/2019
Tesla Shares Fall After Wedbush Analyst Cuts Price Target,"CE Noticias Financieras English, 323 words",,5/20/2019
Tesla Shares Fall After Wedbush Analyst Cuts Price Target,"dpa-AFX International ProFeed, 328 words",,5/20/2019
Tesla's Solar Roof Solution Isn't For the United States,"Yerepouni Daily News, 328 words",,5/16/2019
Tesla's Solar Roof Solution Isn't For the United States,"Indian Oil and gas news, 326 words",,5/16/2019
Tesla To Raise $2.3B Capital In Long-Awaited Move,"Indian Oil and gas news, 347 words",,5/17/2019
Wedbush Calls Tesla A 'Code Red Situation' Sending Stock Crashing To 3 Year Low,"Phil's Stock World, 676 words",,5/20/2019
10:58 EDT NTSB says Tesla autopilot engaged at time of fatal crash,"Theflyonthewall.com, 229 words",,5/16/2019
"Consumer Reports: As NTSB Again Links Death to Autopilot, Tesla Must Act Now","Targeted News Service, 609 words",,5/16/2019
"CONSUMER REPORTS: AS NTSB AGAIN LINKS DEATH TO AUTOPILOT, TESLA MUST ACT NOW","States News Service, 602 words",,5/16/2019
"Consumer Reports slams new lane-change feature in Tesla's Autopilot as 'incredibly near-sighted' and says it lags behind human skill, after finding it cuts off other cars and often fails to react","MailOnline, SCIENCE; Version:2, 563 words",,5/22/2019
Consumer Reports: Tesla automated lane changes are risky,"Red Deer Advocate, BUSINESS, 493 words",,5/22/2019
Consumer Reports: Tesla automated lane changes are risky,"The Associated Press, BUSINESS NEWS, 494 words",,5/22/2019
Consumer Reports: Tesla automated lane changes are risky,"Associated Press International, BUSINESS NEWS, 494 words",,5/22/2019
Consumer Reports: Tesla automated lane changes are risky,"Associated Press Financial Wire, BUSINESS NEWS, 494 words",,5/22/2019
Consumer Reports: Tesla's Automatic Lane Changing Requires Significant Driver Intervention,"Targeted News Service, 597 words",,5/22/2019
CONSUMER REPORTS: TESLA'S AUTOMATIC LANE CHANGING REQUIRES SIGNIFICANT DRIVER INTERVENTION,"States News Service, 726 words",,5/22/2019
"Divine delights in God's country;Tesla has made a quantum leap for motoring with its electric Model 3, as Graeme Lennox discovered on a trip that took in U2's favourite national park and the occasional one-tree hill","The Sunday Times (London), SUNDAY;NEWS; Pg. 24,25, 1254 words",,5/19/2019
Does Tesla need to accept its Autopilot is faulty?,"IANS-English, 305 words",,5/18/2019
"Elon Musk hands sheep meme man the keys to Tesla's Twitter: British museum worker behind 'absolute unit' tweet goes from £24k to £75,000-a-year job after being hired as car maker's social media guru","MailOnline, NEWS; Version:3, 444 words",,5/22/2019
Explaining The Big Tesla Sell Off,"Trefis, 567 words",,5/22/2019
"Jim Cramer's Breakdown of Qualcomm, Trade Talks and Tesla","TheStreet.com, 475 words",,5/20/2019
Man who died on a Tesla had the autopilot,"CE Noticias Financieras English, 313 words",,5/20/2019
Now that's a smart car: Parked Tesla catches vandals who scratch it with a key after its inbuilt sentry system switches on and videos them,"MailOnline, NEWS; Version:3, 543 words",,5/16/2019
NTSB links third death to Tesla autopilot system,"UPI, 297 words",,5/17/2019
NTSB says Tesla's Autopilot was active during fatal Model 3 crash,"Engadget HD, 405 words",,5/16/2019
Panasonic selling some Buffalo PV cells overseas and not to Tesla - report,"SeeNews Renewables, 284 words",,5/16/2019
Parked Tesla catches vandals who scratch it with a key after its inbuilt sentry system switches on and videos them,"MailOnline, NEWS; Version:2, 504 words",,5/16/2019
"Regulatory update: New York State Department of Public Service; Tesla, Inc. , has submitted ( 17-02273 ) Residential-Lease-Agreement (NY Sample)","US Official News, 992 words",,5/17/2019
Sheep meme man' leaves for pastures new: British museum worker who shared tweet about 'absolute unit' sheep is hired by Elon Musk - with a huge pay rise - as Tesla's social media guru,"MailOnline, NEWS; Version:5, 541 words",,5/22/2019
Tesla Completes Acquisition of Maxwell Technologies,"Contify Automotive News, 261 words",,5/16/2019
Tesla crash investigation raises questions,"Tribune-Review (Greensburg, PA), 334 words",,5/17/2019
Tesla Investors Shrug As NTSB Says Autopilot System Engaged During Fatal Florida Crash,"Benzinga, 294 words",,5/16/2019
Tesla Model 3 in Fatal Accident Had Autopilot Engaged," EXTREMETECH.com, 447 words",,5/17/2019
Tesla races to quell concerns about safety after fires," FT.com, 530 words",,5/16/2019
"Tesla's automatic lane-changing feature is 'far less competent' than a human driver, Consumer Reports says;When Consumer Reports tested the feature, drivers raised concerns that it doesn't help -- but could hurt.","Washington Post Blogs , 663 words",,5/22/2019
Tesla's 'Autopilot' engaged in Florida fatal crash: report,"Agence France Presse -- English, 275 words",,5/16/2019
Tesla's 'Autopilot' engaged in Florida fatal crash: report,"DT News, 294 words",,5/18/2019
"Tesla sedan’s Autopilot system was active at time of fatal crash with tractor-trailer, NTSB says","Overdrive, 298 words",,5/17/2019
Tesla shares plunge below $200,"The Irish Times, FINANCE; Pg. 16, 322 words",,5/21/2019
"The U.S. Government Blocking Foreign Firms It Deems A Threat; President Trump Set To Delay A Decision On European Auto Tariffs As The Battle With China Intensifies; Tesla Announcing A Software Fix To Tackle Recent Fires, But Still Says Electric Is 10 Times Safer Than Gas. Aired: 9- 10a ET","CNN INTERNATIONAL, FIRST MOVE WITH JULIA CHATTERLEY 9:00 AM EST, NEWS; International, 8218 words",,5/16/2019
"The U.S. Government Blocking Foreign Firms It Deems A Threat; President Trump Set To Delay A Decision On European Auto Tariffs As The Battle With China Intensifies; Tesla Announcing A Software Fix To Tackle Recent Fires, But Still Says Electric Is 10 Times Safer Than Gas. Aired: 9- 10a ET","CNN INTERNATIONAL, FIRST MOVE WITH JULIA CHATTERLY 9:00 AM EST, NEWS; International, 8218 words",,5/16/2019
Trade war leaves Tesla in limbo,"Global Times (China), 485 words",,5/16/2019
Car fires force Tesla to update its software,"The Times (London), NEWS; TEASERS; Pg. 8, 396 words",,5/17/2019
Consumer Reports: Tesla automated lane changes are risky,"The Today File, 495 words",,5/22/2019
